GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web,ClientApiController,0,94,0,0,0,14,0,6,0,6
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.persistence,ClientExistenceAdapter,11,6,0,0,1,3,2,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.persistence,ClientEntity,34,0,0,0,13,0,7,0,7,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,IBRequestParser.SecureDataPayload,0,6,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,IBRequestParser.ErrorResponse,0,9,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope.Section,6,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope,168,0,56,0,26,0,30,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope.ContentSections,6,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope.Consulta,15,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope.Request,15,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,IBRequestParser.SecureDataResponse,0,9,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyClientXmlController,27,144,1,3,1,15,1,4,0,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,IBRequestParser,145,166,34,16,23,29,24,7,1,5
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client.web.legacy,LegacyXmlEnvelope.Data,6,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith,MonolithApplication,5,7,0,0,2,2,1,2,1,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.integration.homologation,HomologationAdapter,29,3,8,0,6,1,7,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.web,GlobalExceptionHandler.ErrorBody,18,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.web,CorrelationFilter,67,3,6,0,9,1,4,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.web,GlobalExceptionHandler,61,3,5,0,6,1,5,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.web,CorrelationContext,11,36,4,6,0,10,4,2,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.web,ResponseDispatcher,0,58,0,2,0,3,0,2,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.cases.adapter.out.persistence,OracleCaseReader,30,6,0,0,2,1,2,1,2,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels.Products,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels.Belongs,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientService,21,91,0,0,2,8,3,10,3,10
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientMapperImpl,16,201,8,8,8,58,8,9,0,9
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels.Destinations,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels.SecureData,0,15,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels.GeneralInfo,0,18,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientStatus,0,27,0,0,0,5,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,ClientModels,54,41,2,0,7,5,5,5,4,5
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.client,Client,53,0,10,0,7,0,8,0,3,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,DomainError.NotFound,0,9,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,CorrelationId,5,22,2,2,0,5,2,3,0,3
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,DomainException,11,0,0,0,2,0,2,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,Result.Success,0,6,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,Result.Failure,0,6,0,0,0,1,0,1,0,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,DomainError.Conflict,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,ClientId,21,0,4,0,4,0,4,0,2,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,DomainError.Validation,9,0,0,0,1,0,1,0,1,0
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,Result,180,18,8,0,16,1,15,2,11,2
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.platform.kernel,DomainError,74,17,5,1,6,2,5,1,1,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.sales.adapter.out.persistence,OracleSalesReader,64,6,0,0,5,3,8,1,8,1
Modular Monolith - Java 25 (Screaming),com.bamartrod.monolith.shared.web,CorrelationContext,47,0,10,0,10,0,6,0,1,0
